epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.0001988,2.2171,500,1.7021484375,0.8522,3794.718,24.641,,,,,
5.88,0.00039880000000000004,1.5282,1000,1.4404296875,0.7531,4294.077,27.884,,,,,
8.82,0.00039904845817532363,1.3214,1500,1.2958984375,0.809,3997.717,25.959,,,,,
11.76,0.0003961876402938533,1.2033,2000,1.2333984375,0.6995,4622.984,30.019,,,,,
14.71,0.0003914336059233417,1.126,2500,1.16796875,0.8229,3929.845,25.518,,,,,
17.65,0.00038483596127953436,1.0725,3000,1.1376953125,0.7717,4190.541,27.211,,,,,
20.59,0.0003764582452869907,1.0272,3500,1.11328125,0.8612,3755.01,24.383,,,,,
23.53,0.00036640292826373963,0.9916,4000,1.087890625,0.761,4249.567,27.595,,,,,
26.47,0.0003547265789776525,0.9581,4500,1.06640625,0.7419,4359.311,28.307,,,,,
29.41,0.00034158786616868443,0.9282,5000,1.046875,0.7692,4204.413,27.301,,,,,
32.35,0.000327060705039439,0.9019,5500,1.0244140625,0.8071,4006.758,26.018,,,,,
35.29,0.000311342503726229,0.8753,6000,1.01171875,0.7275,4445.194,28.865,,,,,
38.24,0.000294556294675315,0.8528,6500,1.0029296875,0.7868,4110.21,26.69,,,,,
41.18,0.0002768268372455405,0.8264,7000,0.990234375,0.7013,4611.557,29.945,,,,,
44.12,0.0002583950552566326,0.8061,7500,0.9794921875,0.7925,4080.996,26.5,,,,,
47.06,0.00023936464143099599,0.7839,8000,0.97265625,0.8337,3879.127,25.189,,,,,
50.0,0.000219955124589477,0.7627,8500,0.9599609375,0.8048,4018.487,26.094,,,,,
52.94,0.00020035342898958055,0.7414,9000,0.9501953125,0.7268,4449.723,28.894,,,,,
55.88,0.00018078741759993335,0.7222,9500,0.94091796875,0.7722,4188.04,27.195,,,,,
58.82,0.0001614056951024688,0.701,10000,0.9306640625,0.7985,4050.34,26.301,,,,,
61.76,0.0001423565681936324,0.6837,10500,0.93310546875,0.7653,4225.525,27.438,,,,,
64.71,0.00012386257904419638,0.664,11000,0.92578125,0.6735,4801.667,31.18,,,,,
67.65,0.00010610183487951282,0.6474,11500,0.92236328125,0.8572,3772.917,24.499,,,,,
70.59,8.931078747484924e-05,0.6312,12000,0.91748046875,0.7239,4467.319,29.009,,,,,
73.53,7.351638471998772e-05,0.6167,12500,0.92431640625,0.7447,4342.429,28.198,,,,,
76.47,5.894008832325013e-05,0.6021,13000,0.91845703125,0.7856,4116.765,26.732,,,,,
79.41,4.574726893085901e-05,0.59,13500,0.9150390625,0.6878,4701.738,30.531,,,,,
82.35,3.401214613589632e-05,0.581,14000,0.9189453125,0.8591,3764.332,24.444,,,,,
85.29,2.3875577111835813e-05,0.5722,14500,0.9111328125,0.7641,4232.409,27.483,,,,,
88.24,1.545031373529917e-05,0.5639,15000,0.90771484375,0.7441,4346.279,28.223,,,,,
91.18,8.783754488810437e-06,0.5587,15500,0.9130859375,0.7436,4348.827,28.239,,,,,
94.12,3.95871221602706e-06,0.5579,16000,0.90966796875,0.7356,4396.391,28.548,,,,,
97.06,1.0256227570008215e-06,0.5546,16500,0.90966796875,0.8835,3660.506,23.77,,,,,
100.0,9.869596283573757e-10,0.5543,17000,0.904296875,0.7858,4115.445,26.724,3.154029946297385e+17,0.8448506828756893,1711.7828,1580.107,9.931
