epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.0001988,2.3556,500,1.7275390625,2.297,1407.895,9.142,,,,,
5.88,0.00039880000000000004,1.5789,1000,1.546875,2.1761,1486.141,9.65,,,,,
8.82,0.00039904845817532363,1.4098,1500,1.4296875,2.197,1472.008,9.558,,,,,
11.76,0.00039618000558529025,1.2904,2000,1.3583984375,2.1687,1491.186,9.683,,,,,
14.71,0.0003914336059233417,1.1944,2500,1.306640625,2.2122,1461.889,9.493,,,,,
17.65,0.0003848509571602823,1.1262,3000,1.28125,2.1528,1502.205,9.755,,,,,
20.59,0.0003764767263855533,1.0675,3500,1.251953125,2.1484,1505.294,9.775,,,,,
23.53,0.00036640292826373963,1.0166,4000,1.240234375,2.2103,1463.14,9.501,,,,,
26.47,0.0003547265789776525,0.9687,4500,1.2255859375,2.1562,1499.867,9.739,,,,,
29.41,0.00034158786616868443,0.9257,5000,1.2265625,2.1602,1497.087,9.721,,,,,
32.35,0.000327060705039439,0.8839,5500,1.2177734375,2.1766,1485.795,9.648,,,,,
35.29,0.000311342503726229,0.8438,6000,1.20703125,2.1819,1482.161,9.624,,,,,
38.24,0.00029452168900658763,0.8062,6500,1.2158203125,2.157,1499.331,9.736,,,,,
41.18,0.0002768268372455405,0.7668,7000,1.2158203125,2.2528,1435.533,9.322,,,,,
44.12,0.00025835749537527023,0.7307,7500,1.21875,2.1342,1515.328,9.84,,,,,
47.06,0.00023936464143099599,0.6963,8000,1.2294921875,2.1622,1495.678,9.712,,,,,
50.0,0.000219955124589477,0.6619,8500,1.2421875,2.5776,1254.636,8.147,,,,,
52.94,0.00020035342898958055,0.6282,9000,1.2421875,2.2392,1444.279,9.378,,,,,
55.88,0.00018078741759993335,0.5971,9500,1.259765625,2.2285,1451.2,9.423,,,,,
58.82,0.00016136716404167617,0.567,10000,1.2841796875,2.2032,1467.869,9.532,,,,,
61.76,0.0001423565681936324,0.5395,10500,1.2998046875,2.2941,1409.721,9.154,,,,,
64.71,0.00012386257904419638,0.5127,11000,1.326171875,2.2017,1468.875,9.538,,,,,
67.65,0.00010613650955799346,0.4896,11500,1.3525390625,2.213,1461.387,9.49,,,,,
70.59,8.927808229053469e-05,0.4678,12000,1.3779296875,2.1815,1482.5,9.627,,,,,
73.53,7.351638471998772e-05,0.448,12500,1.40234375,2.2149,1460.093,9.481,,,,,
76.47,5.894008832325013e-05,0.4305,13000,1.423828125,2.1692,1490.846,9.681,,,,,
79.41,4.5722275987151156e-05,0.4161,13500,1.4345703125,2.1432,1508.934,9.798,,,,,
82.35,3.401214613589632e-05,0.4037,14000,1.4521484375,2.2889,1412.904,9.175,,,,,
85.29,2.3875577111835813e-05,0.3936,14500,1.48046875,2.1259,1521.223,9.878,,,,,
88.24,1.545031373529917e-05,0.3855,15000,1.48046875,2.2328,1448.382,9.405,,,,,
91.18,8.783754488810437e-06,0.3796,15500,1.4912109375,2.1303,1518.076,9.858,,,,,
94.12,3.95871221602706e-06,0.3758,16000,1.49609375,2.2584,1431.956,9.298,,,,,
97.06,1.0256227570008215e-06,0.3739,16500,1.498046875,2.1717,1489.171,9.67,,,,,
100.0,9.869596283573757e-10,0.3728,17000,1.50390625,2.1361,1513.977,9.831,1.384051308465488e+18,0.7677895992503446,7134.7906,379.1,2.383
