epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.000196,3.9403,500,3.6015625,0.7918,4084.211,26.521,,,,,
5.88,0.00039600000000000003,2.5248,1000,3.0625,0.7028,4601.893,29.882,,,,,
8.82,0.00039907505287584545,2.1873,1500,2.841796875,0.7114,4545.697,29.518,,,,,
11.76,0.0003962332896983008,2.0004,2000,2.619140625,0.7269,4448.732,28.888,,,,,
14.71,0.0003915016926689336,1.8829,2500,2.52734375,0.7072,4572.709,29.693,,,,,
17.65,0.0003849258296536907,1.8089,3000,2.46875,0.7384,4379.645,28.439,,,,,
20.59,0.00037656902980814114,1.749,3500,2.373046875,0.712,4541.945,29.493,,,,,
23.53,0.0003665117736830892,1.7024,4000,2.33203125,0.695,4653.089,30.215,,,,,
26.47,0.00035485091815287456,1.6623,4500,2.27734375,0.6977,4635.471,30.1,,,,,
29.41,0.00034169876363072515,1.6275,5000,2.2578125,0.7314,4421.854,28.713,,,,,
32.35,0.0003271819725543884,1.6006,5500,2.205078125,0.6818,4743.457,30.802,,,,,
35.29,0.0003114403495576145,1.5738,6000,2.189453125,0.7209,4486.345,29.132,,,,,
38.24,0.00029462549507510897,1.552,6500,2.169921875,0.7266,4451.138,28.903,,,,,
41.18,0.0002768993453474727,1.528,7000,2.115234375,0.7717,4190.737,27.213,,,,,
44.12,0.0002584326128866821,1.5081,7500,2.095703125,0.6833,4732.808,30.733,,,,,
47.06,0.0002394031424212773,1.4921,8000,2.0703125,0.6939,4660.331,30.262,,,,,
50.0,0.00022003327094849775,1.4735,8500,2.052734375,0.7945,4070.329,26.431,,,,,
52.94,0.00020043196865401783,1.4579,9000,2.0234375,0.709,4561.201,29.618,,,,,
55.88,0.0001808655956697884,1.4435,9500,2.009765625,0.6707,4821.941,31.311,,,,,
58.82,0.00016144422765119323,1.4277,10000,1.9765625,0.6994,4623.973,30.026,,,,,
61.76,0.0001424317796213456,1.4168,10500,1.9833984375,0.7374,4385.831,28.479,,,,,
64.71,0.0001239352109885643,1.402,11000,1.9658203125,0.7183,4502.15,29.235,,,,,
67.65,0.00010620586976981504,1.3921,11500,1.939453125,0.7054,4584.904,29.772,,,,,
70.59,8.934349692658066e-05,1.3831,12000,1.9365234375,0.7032,4599.102,29.864,,,,,
73.53,7.354680669894105e-05,1.3711,12500,1.92578125,0.7627,4240.467,27.535,,,,,
76.47,5.8995776812254834e-05,1.3642,13000,1.9189453125,0.7411,4363.601,28.335,,,,,
79.41,4.577226782149433e-05,1.3551,13500,1.90234375,0.7791,4150.972,26.954,,,,,
82.35,3.4055972664746846e-05,1.3516,14000,1.890625,0.7261,4453.925,28.922,,,,,
85.29,2.3912804368871712e-05,1.346,14500,1.890625,0.7099,4555.729,29.583,,,,,
88.24,1.546545202597702e-05,1.3415,15000,1.8828125,0.8616,3753.356,24.372,,,,,
91.18,8.79526825691741e-06,1.3383,15500,1.875,0.6984,4630.39,30.067,,,,,
94.12,3.9742764970450266e-06,1.3362,16000,1.876953125,0.8128,3978.942,25.837,,,,,
97.06,1.0295984734167041e-06,1.3338,16500,1.8759765625,0.7201,4491.335,29.165,,,,,
100.0,1.114184774841931e-09,1.3345,17000,1.8740234375,0.7259,4455.086,28.929,7.208949906826854e+16,1.6238038401884192,1231.5361,2196.282,13.804
