epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.0001988,2.9102,500,2.26953125,1.3651,2368.984,15.383,,,,,
5.88,0.00039880000000000004,2.1157,1000,2.06640625,1.3596,2378.607,15.446,,,,,
8.82,0.0003990522804412617,1.9213,1500,1.91015625,1.3677,2364.507,15.354,,,,,
11.76,0.0003961876402938533,1.7657,2000,1.8095703125,1.3479,2399.321,15.58,,,,,
14.71,0.0003914449721677457,1.6627,2500,1.75,1.4229,2272.891,14.759,,,,,
17.65,0.0003848509571602823,1.591,3000,1.7099609375,1.402,2306.687,14.978,,,,,
20.59,0.0003764952006803837,1.5298,3500,1.669921875,1.4027,2305.6,14.971,,,,,
23.53,0.0003664247101816793,1.4764,4000,1.654296875,1.3425,2408.893,15.642,,,,,
26.47,0.00035475145874692455,1.4291,4500,1.6357421875,1.3875,2330.846,15.135,,,,,
29.41,0.00034158786616868443,1.3835,5000,1.6123046875,1.3733,2354.891,15.291,,,,,
32.35,0.00032709102926898296,1.3424,5500,1.595703125,1.3342,2423.91,15.74,,,,,
35.29,0.000311342503726229,1.301,6000,1.5888671875,1.3721,2356.945,15.305,,,,,
38.24,0.000294556294675315,1.261,6500,1.578125,1.3509,2393.875,15.545,,,,,
41.18,0.0002768268372455405,1.2204,7000,1.560546875,1.3656,2368.129,15.377,,,,,
44.12,0.0002583950552566326,1.1823,7500,1.5556640625,1.3707,2359.322,15.32,,,,,
47.06,0.00023936464143099599,1.1453,8000,1.5546875,1.4406,2244.829,14.577,,,,,
50.0,0.0002199941981544069,1.1059,8500,1.5498046875,1.3332,2425.657,15.751,,,,,
52.94,0.00020039269882936905,1.0683,9000,1.55078125,1.3861,2333.095,15.15,,,,,
55.88,0.00018082650626526163,1.0308,9500,1.544921875,1.3375,2418.034,15.702,,,,,
58.82,0.00016144422765119323,0.9927,10000,1.5556640625,1.4737,2194.438,14.25,,,,,
61.76,0.00014239417279704624,0.9575,10500,1.5595703125,1.3949,2318.515,15.055,,,,,
64.71,0.000123898893549412,0.9206,11000,1.5791015625,1.4209,2276.041,14.779,,,,,
67.65,0.00010617118785520646,0.8898,11500,1.5830078125,1.4343,2254.681,14.641,,,,,
70.59,8.931078747484924e-05,0.8562,12000,1.5830078125,1.3875,2330.862,15.135,,,,,
73.53,7.351638471998772e-05,0.8265,12500,1.6083984375,1.348,2399.195,15.579,,,,,
76.47,5.894008832325013e-05,0.7997,13000,1.6123046875,1.3975,2314.053,15.026,,,,,
79.41,4.574726893085901e-05,0.7753,13500,1.6259765625,1.4236,2271.765,14.752,,,,,
82.35,3.401214613589632e-05,0.7546,14000,1.62890625,1.3801,2343.367,15.217,,,,,
85.29,2.3875577111835813e-05,0.7386,14500,1.64453125,1.3405,2412.566,15.666,,,,,
88.24,1.5435182559591532e-05,0.7244,15000,1.6435546875,1.4261,2267.715,14.725,,,,,
91.18,8.783754488810437e-06,0.7145,15500,1.646484375,1.34,2413.425,15.672,,,,,
94.12,3.966490577682191e-06,0.7102,16000,1.65625,1.3781,2346.72,15.238,,,,,
97.06,1.0256227570008215e-06,0.7068,16500,1.646484375,1.3336,2424.925,15.746,,,,,
100.0,9.869596283573757e-10,0.7062,17000,1.65234375,1.3707,2359.414,15.321,1.384051308465488e+18,1.1916651593376608,4670.2483,579.156,3.64
