epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039600000000000003,3.4845,1000,3.376953125,5.9222,10131.4,63.321,,,,,
0.09,0.0003999822661115177,2.7762,2000,3.220703125,5.7938,10355.968,64.725,,,,,
0.13,0.00039992834933557487,2.7292,3000,3.169921875,5.6551,10609.836,66.311,,,,,
0.17,0.00039983825761842504,2.7079,4000,3.123046875,5.6454,10628.05,66.425,,,,,
0.21,0.00039971200726122096,2.6925,5000,3.09765625,5.7717,10395.635,64.973,,,,,
0.26,0.0003995496211076427,2.6809,6000,3.099609375,5.7673,10403.505,65.022,,,,,
0.3,0.00039935112853976444,2.6694,7000,3.087890625,5.903,10164.365,63.527,,,,,
0.34,0.00039911656547273746,2.658,8000,3.017578125,5.7938,10355.984,64.725,,,,,
0.38,0.00039884597434829274,2.6495,9000,3.041015625,5.8369,10279.515,64.247,,,,,
0.43,0.0003985397286509198,2.6417,10000,3.037109375,5.7309,10469.514,65.434,,,,,
0.47,0.00039819799142496576,2.6346,11000,3.044921875,5.7314,10468.669,65.429,,,,,
0.51,0.0003978197434080027,2.628,12000,2.99609375,5.7862,10369.504,64.809,,,,,
0.55,0.00039740613387583527,2.6204,13000,2.97265625,5.7558,10424.215,65.151,,,,,
0.6,0.00039695640963216387,2.6157,14000,2.970703125,5.7413,10450.623,65.316,,,,,
0.64,0.0003964715513221847,2.6083,15000,2.962890625,5.6493,10620.834,66.38,,,,,
0.68,0.0003959512146047209,2.6033,16000,2.958984375,5.7654,10406.863,65.043,,,,,
0.72,0.0003953954934410507,2.5969,17000,2.96484375,5.7409,10451.329,65.321,,,,,
0.77,0.0003948044881820991,2.592,18000,2.9921875,5.8424,10269.838,64.186,,,,,
0.81,0.0003941789499112824,2.5874,19000,2.943359375,5.7828,10375.603,64.848,,,,,
0.85,0.00039351705862040705,2.579,20000,2.95703125,5.6461,10626.874,66.418,,,,,
0.9,0.00039282086679891037,2.5774,21000,2.916015625,5.6009,10712.6,66.954,,,,,
0.94,0.00039208985580263853,2.573,22000,2.927734375,5.676,10570.881,66.068,,,,,
0.98,0.0003913233738387026,2.5686,23000,2.912109375,5.786,10369.822,64.811,,,,,
1.02,0.0003905230922576389,2.563,24000,2.951171875,5.7908,10361.286,64.758,,,,,
1.07,0.0003896884064289534,2.5597,25000,2.904296875,5.8185,10311.977,64.45,,,,,
1.11,0.00038881946707840627,2.5546,26000,2.931640625,5.8136,10320.628,64.504,,,,,
1.15,0.0003879155101488103,2.5526,27000,2.859375,5.8163,10315.761,64.474,,,,,
1.19,0.00038697850676143144,2.5508,28000,2.9140625,5.78,10380.615,64.879,,,,,
1.24,0.0003860077392000076,2.547,29000,2.951171875,5.8685,10224.1,63.901,,,,,
1.28,0.00038500236063387043,2.5428,30000,2.896484375,5.7923,10358.591,64.741,,,,,
1.32,0.00038396456333900916,2.5386,31000,2.892578125,5.8166,10315.263,64.47,,,,,
1.36,0.0003828935461214826,2.5374,32000,2.9453125,5.7458,10442.413,65.265,,,,,
1.41,0.00038178838075416386,2.5332,33000,2.876953125,5.7547,10426.275,65.164,,,,,
1.45,0.00038065147710292886,2.5322,34000,2.85546875,5.8292,10293.084,64.332,,,,,
1.49,0.00037948195179896997,2.5287,35000,2.861328125,5.7556,10424.714,65.154,,,,,
1.53,0.000378278796728082,2.5268,36000,2.861328125,5.6577,10605.053,66.282,,,,,
1.58,0.00037704463542737043,2.5218,37000,2.8671875,5.6641,10592.946,66.206,,,,,
1.62,0.0003757785037895979,2.5201,38000,2.8828125,5.6679,10585.885,66.162,,,,,
1.66,0.00037448063045007507,2.5165,39000,2.84765625,5.6994,10527.447,65.797,,,,,
1.71,0.0003731512497759605,2.5153,40000,2.84375,5.7145,10499.652,65.623,,,,,
1.75,0.0003717892242306608,2.5138,41000,2.845703125,5.8841,10196.972,63.731,,,,,
1.79,0.0003703975237759399,2.5123,42000,2.853515625,5.6259,10665.047,66.657,,,,,
1.83,0.00036897361408037854,2.5085,43000,2.87109375,5.6103,10694.527,66.841,,,,,
