epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.0003992,2.6922,1000,2.46484375,7.7999,7692.406,48.078,,,,,
0.09,0.0003999820144464244,2.4439,2000,2.376953125,7.8838,7610.546,47.566,,,,,
0.13,0.0003999279166459084,2.3786,3000,2.33203125,7.9687,7529.456,47.059,,,,,
0.17,0.0003998377162949388,2.3474,4000,2.30859375,7.6737,7818.955,48.868,,,,,
0.21,0.00039971142968169975,2.3241,5000,2.3046875,7.7574,7734.567,48.341,,,,,
0.26,0.0003995490796107545,2.3079,6000,2.2890625,7.9257,7570.324,47.315,,,,,
0.3,0.0003993506953989275,2.2925,7000,2.287109375,7.8995,7595.405,47.471,,,,,
0.34,0.00039911631287001037,2.2786,8000,2.267578125,7.7582,7733.735,48.336,,,,,
0.38,0.00039884597434829274,2.2669,9000,2.267578125,7.8295,7663.367,47.896,,,,,
0.43,0.0003985397286509198,2.2592,10000,2.259765625,7.7777,7714.35,48.215,,,,,
0.47,0.0003981976310790768,2.2494,11000,2.2421875,7.8557,7637.743,47.736,,,,,
0.51,0.0003978197434080027,2.2424,12000,2.23828125,7.8053,7687.118,48.044,,,,,
0.55,0.0003974065657359571,2.2322,13000,2.234375,7.8282,7664.559,47.903,,,,,
0.6,0.00039695687717128863,2.2273,14000,2.2265625,7.7379,7754.047,48.463,,,,,
0.64,0.000396472054420166,2.2193,15000,2.220703125,7.8437,7649.443,47.809,,,,,
0.68,0.0003959517531707105,2.2139,16000,2.220703125,7.8653,7628.483,47.678,,,,,
0.72,0.0003953960673777955,2.2066,17000,2.212890625,7.8517,7641.653,47.76,,,,,
0.77,0.0003948050973859588,2.2024,18000,2.21875,7.8411,7652.009,47.825,,,,,
0.81,0.0003941783055503164,2.1964,19000,2.2109375,7.855,7638.459,47.74,,,,,
0.85,0.00039351705862040705,2.19,20000,2.2109375,7.7983,7693.964,48.087,,,,,
0.9,0.000392820152444242,2.1876,21000,2.208984375,7.8446,7648.528,47.803,,,,,
0.94,0.00039208910665902876,2.1831,22000,2.197265625,7.853,7640.349,47.752,,,,,
0.98,0.0003913225900068117,2.178,23000,2.197265625,7.8983,7596.564,47.479,,,,,
1.02,0.0003905222739137665,2.172,24000,2.19921875,7.9069,7588.351,47.427,,,,,
1.07,0.0003896884064289534,2.1678,25000,2.19921875,7.9439,7552.927,47.206,,,,,
1.11,0.00038881858016010055,2.1631,26000,2.18359375,8.0246,7477.008,46.731,,,,,
1.15,0.0003879155101488103,2.1613,27000,2.19140625,7.7269,7765.076,48.532,,,,,
1.19,0.0003869775518754624,2.1581,28000,2.1875,7.8264,7666.356,47.915,,,,,
1.24,0.0003860077392000076,2.154,29000,2.18359375,7.7888,7703.374,48.146,,,,,
1.28,0.00038500236063387043,2.1508,30000,2.1796875,7.8701,7623.779,47.649,,,,,
1.32,0.00038396456333900916,2.1469,31000,2.169921875,7.8878,7606.696,47.542,,,,,
1.36,0.0003828935461214826,2.1459,32000,2.1796875,7.9399,7556.756,47.23,,,,,
1.41,0.0003817895023832617,2.1422,33000,2.166015625,7.9357,7560.749,47.255,,,,,
1.45,0.00038065147710292886,2.1399,34000,2.177734375,7.8682,7625.638,47.66,,,,,
1.49,0.00037948195179896997,2.1366,35000,2.1796875,7.8541,7639.337,47.746,,,,,
1.53,0.0003782800160326352,2.1343,36000,2.162109375,7.6718,7820.851,48.88,,,,,
1.58,0.00037704463542737043,2.1286,37000,2.166015625,7.8271,7665.644,47.91,,,,,
1.62,0.0003757785037895979,2.1282,38000,2.162109375,7.6936,7798.733,48.742,,,,,
1.66,0.00037448063045007507,2.1245,39000,2.16796875,7.8113,7681.216,48.008,,,,,
1.71,0.0003731512497759605,2.1223,40000,2.150390625,7.6882,7804.132,48.776,,,,,
1.75,0.0003717892242306608,2.1221,41000,2.15234375,7.7423,7749.653,48.435,,,,,
1.79,0.0003703975237759399,2.1201,42000,2.15625,7.7391,7752.857,48.455,,,,,
1.83,0.00036897361408037854,2.1156,43000,2.15625,7.7865,7705.619,48.16,,,,,
1.88,0.000367522069685058,2.1137,44000,2.14453125,7.819,7673.621,47.96,,,,,
1.92,0.0003660373355064283,2.1111,45000,2.154296875,7.8786,7615.61,47.598,,,,,
1.96,0.00036452408830310405,2.108,46000,2.142578125,7.6789,7813.628,48.835,,,,,
2.0,0.0003629826909594305,2.1069,47000,2.14453125,7.7564,7735.524,48.347,,,,,
2.05,0.0003614087443089361,2.0997,48000,2.140625,7.8164,7676.185,47.976,,,,,
2.09,0.0003598072100801678,2.0993,49000,2.1484375,7.8775,7616.644,47.604,,,,,
2.13,0.00035817681821129823,2.0992,50000,2.1328125,7.8678,7626.007,47.663,,,,,
2.17,0.00035651786311496214,2.098,51000,2.134765625,9.4831,6327.027,39.544,,,,,
2.22,0.0003548289413952738,2.0955,52000,2.134765625,8.1307,7379.432,46.121,,,,,
